category,action_type,finding_or_control,architecture_name,exact_misconfiguration,terraform_resources,aws_resource_ids_or_names,securityhub_filter_field,securityhub_filter_value,status,notes
Foundational Security Services,enable_security_hub,SecurityHub.1,foundational_controls_gaps,"Security Hub is disabled in-region via CLI during apply.",terraform_data.disable_security_hub,Security Hub account status in target region,ComplianceSecurityControlId,SecurityHub.1,implementable,"Use additional filter RecordState=ACTIVE."
Foundational Security Services,enable_guardduty,GuardDuty.1,foundational_controls_gaps,"All GuardDuty detectors are deleted in target region via CLI.",terraform_data.delete_guardduty_detectors,GuardDuty detector IDs removed in target region,ComplianceSecurityControlId,GuardDuty.1,implementable,"Use additional filter RecordState=ACTIVE."
Foundational Security Services,aws_config_enabled,Config.1,foundational_controls_gaps,"Singleton-safe flow: if missing, create recorder+delivery channel, then stop recorder to leave Config non-compliant.",terraform_data.ensure_config_non_compliant|aws_iam_role.config_service_role|aws_s3_bucket.audit_logs,"Recorder name `<prefix>-recorder` (or existing singleton), delivery channel `<prefix>-delivery` (or existing singleton)",ComplianceSecurityControlId,Config.1,implementable,"Models Config recorder -> delivery channel relationship while handling account limit of one recorder/channel. If another recorder remains recording (for example `default`), stop it manually."
Foundational Security Services,cloudtrail_enabled,CloudTrail.1,foundational_controls_gaps,"CloudTrail is single-region only (`is_multi_region_trail=false`) and excludes global service events.",aws_cloudtrail.regional_only|aws_s3_bucket.audit_logs|aws_s3_bucket_policy.audit_logs,"Trail `<prefix>-regional-trail`, audit bucket `<prefix>-audit-*`",ComplianceSecurityControlId,CloudTrail.1,implementable,"CloudTrail -> S3 relationship is explicit. If another multi-region trail remains enabled, disable/delete it manually for deterministic failure."
S3 Public Exposure Controls,s3_block_public_access,S3.1,insecure_workload_stack,"Account-level S3 Block Public Access is fully disabled.",aws_s3_account_public_access_block.account_level_off,Account Public Access Block configuration,ComplianceSecurityControlId,S3.1,implementable,"Can affect all buckets in account/region."
S3 Public Exposure Controls,s3_bucket_block_public_access,S3.2,insecure_workload_stack,"Bucket-level public access block is disabled and public read policy allows `Principal=*` on objects.",aws_s3_bucket.public_assets|aws_s3_bucket_public_access_block.public_assets|aws_s3_bucket_policy.public_assets,"Bucket `<prefix>-pub-*`",ComplianceSecurityControlId,S3.2,implementable,"Public exposure is real, not simulated."
S3 Public Exposure Controls,s3_bucket_block_public_access,S3.3,insecure_workload_stack,"Same underlying public bucket misconfiguration as S3.2.",aws_s3_bucket.public_assets|aws_s3_bucket_public_access_block.public_assets|aws_s3_bucket_policy.public_assets,"Bucket `<prefix>-pub-*`",ComplianceSecurityControlId,S3.3,implementable,"Alias/related control coverage."
S3 Public Exposure Controls,s3_bucket_block_public_access,S3.8,insecure_workload_stack,"Same underlying public bucket misconfiguration as S3.2.",aws_s3_bucket.public_assets|aws_s3_bucket_public_access_block.public_assets|aws_s3_bucket_policy.public_assets,"Bucket `<prefix>-pub-*`",ComplianceSecurityControlId,S3.8,implementable,"Alias/related control coverage."
S3 Public Exposure Controls,s3_bucket_block_public_access,S3.17,insecure_workload_stack,"Same underlying public bucket misconfiguration as S3.2.",aws_s3_bucket.public_assets|aws_s3_bucket_public_access_block.public_assets|aws_s3_bucket_policy.public_assets,"Bucket `<prefix>-pub-*`",ComplianceSecurityControlId,S3.17,implementable,"Alias/related control coverage."
S3 Public Exposure Controls,s3_bucket_require_ssl,S3.5,insecure_workload_stack,"Bucket policy intentionally omits `Deny` on `aws:SecureTransport=false`.",aws_s3_bucket.transport_policy_missing_ssl_deny|aws_s3_bucket_policy.transport_policy_missing_ssl_deny,"Bucket `<prefix>-nossl-*`",ComplianceSecurityControlId,S3.5,implementable,"Bucket is still connected to workload IAM role access."
